Code;Classification;Type;Accounting account name;Previous balance;Debit;Credit;Current balance
90;01.02.001.007.000136960;;Belfood Group Alimentos Ltda;1,951,250.20D;3,695.24;0.00;1,954,945.44D
96;01.02.003;T;FIXED ASSETS;2,168.53D;0.00;49.58;2,118.95D
97;01.02.003.001;T;FIXED ASSETS;5,132.07D;0.00;0.00;5,132.07D
103;01.02.003.001.006;;IT Equipments;4,548.17D;0.00;0.00;4,548.17D
99;01.02.003.001.002;;Forniture;583.90D;0.00;0.00;583.90D
115;01.02.003.005;T;(-) ACCUMULATED DEPRECIATION;2,963.54C;0.00;49.58;3,013.12C
121;01.02.003.005.006;;(-) IT Equipments;2,379.64C;0.00;49.58;2,429.22C
117;01.02.003.005.002;;(-) Forniture;583.90C;0.00;0.00;583.90C
144;02;T;LIABILITIES;4,303,512.26C;56,452.89;176,068.52;4,423,127.89C
145;02.01;T;CURRENT LIABILITIES;853,086.79C;56,452.89;56,107.83;852,741.73C
146;02.01.002;T;ACCOUNTS PAYABLE;853,086.79C;16,321.28;15,804.08;852,569.59C
147;02.01.002.001;T;ACCOUNTS PAYABLE - NATIONAL;517.20C;16,321.28;15,804.08;0.00
148;02.01.002.001.000653895;;4 B Ltda;0.00;3,350.32;3,350.32;0.00
148;02.01.002.001.000000933;;Alfa Transportes Ltda;517.20C;517.20;0.00;0.00
148;02.01.002.001.000150013;;Biomonitor Assessoria Para Biosseguranca Ltda;0.00;6,500.00;6,500.00;0.00
148;02.01.002.001.000130487;;Hz Servicos Ltda;0.00;361.00;361.00;0.00
148;02.01.002.001.000131302;;Locaweb Servicos De Internet S/a;0.00;55.00;55.00;0.00
148;02.01.002.001.000062155;;Proactiva Meio Ambiente Brasil Ltda;0.00;2,437.86;2,437.86;0.00
148;02.01.002.001.000000158;;Pronta Servicos Contabeis S/s;0.00;706.00;706.00;0.00
148;02.01.002.001.000003472;;Tcd Logistica Ltda;0.00;2,393.90;2,393.90;0.00
768;02.01.002.003;T;ACCOUNTS PAYABLE - FOREIGN;852,569.59C;0.00;0.00;852,569.59C
769;02.01.002.003.000119673;;Clarys Food Ingredients Bv;852,569.59C;0.00;0.00;852,569.59C
182;02.01.003;T;TAXES PAYABLE;0.00;40,131.61;40,303.75;172.14C
183;02.01.003.001;T;WITHHOLDING TAXES PAYABLE;0.00;0.00;172.14;172.14C
617;02.01.003.001.006;;CSRF payable;0.00;0.00;35.34;35.34C
2707;02.01.003.001.007;;INSS payable;0.00;0.00;98.80;98.80C
186;02.01.003.001.003;;ISS payable;0.00;0.00;38.00;38.00C
194;02.01.003.003;T;REVENUE TAXES PAYABLE;0.00;40,131.61;40,131.61;0.00
196;02.01.003.003.002;;COFINS payable;0.00;155.81;155.81;0.00
195;02.01.003.003.001;;ICMS payable;0.00;16,554.77;16,554.77;0.00
191;02.01.003.003.010;;ICMS presumed credit payable;0.00;23,395.71;23,395.71;0.00
197;02.01.003.003.003;;PIS payable;0.00;25.32;25.32;0.00
220;02.02;T;NON CURRENT LIABILITIES;3,515,731.76C;0.00;119,960.69;3,635,692.45C
221;02.02.001;T;NON CURRENT LOANS AND FINANCINGS;3,515,731.76C;0.00;119,960.69;3,635,692.45C
780;02.02.001.003;T;LOANS TO THIRD PARTIES;3,515,731.76C;0.00;119,960.69;3,635,692.45C
781;02.02.001.003.000136960;;Belfood Group Alimentos Ltda;1,024,330.36C;0.00;119,960.69;1,144,291.05C
781;02.02.001.003.000119673;;Clarys Food Ingredients Bv;1,803,273.40C;0.00;0.00;1,803,273.40C
781;02.02.001.003.000870350;;Clarys Kurt Paul;688,128.00C;0.00;0.00;688,128.00C
225;02.03;T;STOCKHOLDERS' EQUITY;65,306.29D;0.00;0.00;65,306.29D
226;02.03.001;T;CAPITAL STOCK;1,753,553.00C;0.00;0.00;1,753,553.00C
227;02.03.001.001;T;SUBSCRIBED CAPITAL;1,753,553.00C;0.00;0.00;1,753,553.00C
228;02.03.001.001.000119673;;Clarys Food Ingredients Bv;1,753,553.00C;0.00;0.00;1,753,553.00C
248;02.03.006;T;RETAINED EARNINGS;1,818,859.29D;0.00;0.00;1,818,859.29D
249;02.03.006.003;T;RETAINED EARNINGS;1,818,859.29D;0.00;0.00;1,818,859.29D
251;02.03.006.003.002;;Retained Losses;1,818,859.29D;0.00;0.00;1,818,859.29D
259;03;T;EXERCISE RESULT;1,211,357.67D;165,941.81;3,895.19;1,373,404.29D
